Entity,assigned_cluster,mean_p,mean_g,mean_i,mean_f
Paraguay,1,1.4995233937901413,1.8945120558400408,1.143296874568267,-1.4679465469274808
Peru,1,1.2256054158863008,3.279396517042281,-0.6373084765410048,0.1853099903125497
Philippines,1,1.8243667797769176,3.2003460530489587,-1.6747982322423212,0.45347783490869426
Saint Lucia,1,0.7381299229493331,2.092105423006058,1.2958189186946982,-1.3474198841860583
Sao Tome and Principe,1,1.9475246688087777,1.9616402265284965,-1.983403760077087,1.9682738685872876
Senegal,1,2.6266193658300128,1.3616904117788406,0.07318089837292155,1.2322304038724832
Sierra Leone,1,2.588023792939037,0.8497987281701791,-0.39917490653113324,5.02676110891376
Sri Lanka,1,1.0278482881079702,3.253896982897418,-0.6774848073319469,1.2954683997009024
Tanzania,1,2.9328547509809333,4.542479733029224,-0.3689609191217123,1.5762565605406322
Thailand,1,0.755782306164946,2.0389780388527345,0.8008680896707897,-0.8787182293832323
Trinidad and Tobago,1,0.5428501728817046,2.5206208325805086,-0.043897267110940184,0.6179466481116611
Tunisia,1,1.067366133675605,2.215076546076922,-1.1334001832261669,0.12038706707922546
Uganda,1,3.176518743506721,2.8639706130965443,0.7441520093138753,1.42106253856263
Uruguay,1,0.24052081961653396,1.831599337213533,0.6928202073127608,0.32713023833560945
Vietnam,1,1.276994336793297,5.201606027250284,2.855581237948118,0.20326557263429806
Zimbabwe,1,1.397111884463081,-0.5094683003980549,0.5013815094708063,-1.7199298611524076
Albania,2,-0.5307386604128578,5.083024516597677,-2.2666263469026173,1.7884411755430893
Armenia,2,-0.569035740207326,4.329337228451351,-2.3632701335212363,2.893505627659535
Azerbaijan,2,1.0777097132216793,5.879123203123077,-5.876722143854909,-0.7070088419266677
Bahrain,2,3.55616061599222,4.964244984845308,-4.717404192676089,-0.2016334222898358
Bosnia and Herzegovina,2,-0.46275406933875113,5.522498605783546,-0.47674568411815477,3.0548216508009736
Cuba,2,0.0578246369312896,3.7963442016154607,-4.603482123127432,1.2454348949779899
Djibouti,2,2.161861792290568,1.853971840415635,-6.033522043440703,5.385318990150086
Georgia,2,-1.022944073774989,5.328792275634548,-2.3609250952086294,2.2360101113765043
Guinea-Bissau,2,2.430564883250643,1.0499513740784778,-2.327905308582482,7.09987806232163
Iraq,2,2.8886467447710156,6.81225253395783,-7.037936276241946,2.2034042652915784
Kazakhstan,2,0.6010929538075686,4.312640591489391,-4.064993432908151,1.202668674224601
Lithuania,2,-0.9329021454065975,4.978388870532596,-5.07915855774508,0.4751434668556257
Mauritania,2,2.8543550223265988,2.802858913431292,-3.363644454034235,4.799145291949164
Mongolia,2,1.4267085010462819,7.346615096164769,-4.688727537225286,3.721216889908167
Montenegro,2,-0.19444170016622175,4.683846405446244,-4.301727782793637,2.2402779386358067
Panama,2,1.827401691866846,4.0345252950232355,-2.7965896774718444,2.6889182959796813
Qatar,2,6.44598634469474,7.853074974353889,-9.10544076735727,0.08027921198571956
Romania,2,-0.6090126573027261,5.68238150565693,-6.149901933608456,-0.4964309907774002
Rwanda,2,2.5787099272448155,4.1475334588739745,-3.9667405979502925,2.4467571612752406
Seychelles,2,1.766207288171277,4.1443159114726,-3.0198150219307727,2.1375170317915275
Tajikistan,2,2.069513913873141,3.8846084738817503,-4.67033191874876,5.6442273945106205
Turkmenistan,2,2.0549651559311406,5.672076684608997,-2.4285463638226736,0.24960016687638537
United Arab Emirates,2,5.4331736687286565,3.701469295164204,-5.299669140623703,0.3335805723348964
Zambia,2,3.1481181247726377,3.91498845593274,-3.2317575000074763,2.4637465695620984
Algeria,3,1.7746515177988604,3.7315393637220535,-2.1226720477844836,-0.17275950901514853
Angola,3,3.5788433930413017,6.285370124745108,-4.187243888273421,-3.0156102166257384
Australia,3,1.3676703524756264,2.003944292872353,-1.9553642420416562,-0.42456545978980065
Austria,3,0.4736182691448957,1.5198212177697206,-1.6236606160802622,-0.24583739922950837
Belarus,3,-0.3887198767206506,3.1207367086248134,-2.471742965487787,-0.8871703566817347
Belgium,3,0.49760760628178274,1.3613386176314297,-1.635488850085401,-1.3589503231369222
Botswana,3,1.8656847312594098,3.787550511946331,-2.017505145997499,0.264628982137179
Bulgaria,3,-0.7466280368535713,3.3586375177539627,-2.7118503264577862,-0.1803920887149986
Canada,3,1.0259963567384667,1.4327501765006014,-1.7655902862734145,-0.15804269178731115
China,3,0.6021565071054071,6.027025467044145,-1.104106128369329,-0.5475980021970444
Croatia,3,-0.6444717793122609,3.858741748958797,-2.8708176390498523,0.04982125305217487
Cyprus,3,1.63154007873689,2.214434583588791,-2.3926521210405727,-0.4374167020471452
Czechia,3,0.11817285715253865,3.1268591373153978,-3.327984202214273,-1.0290087433959112
Denmark,3,0.44327629258438267,1.5989508533085184,-2.7101194238465243,-1.8360503627842844
Dominican Republic,3,1.3555900947988133,4.975093389704922,-1.8625465821622471,-0.5750015883501987
Egypt,3,2.042826832431849,3.737861794054573,-2.322985243038067,0.4074276036862752
Estonia,3,-0.31549154386426304,3.347052681008635,-2.7378852172682935,-1.1728136977599533
Eswatini,3,0.8146564788609255,2.589128052328157,-1.4726862358905448,-0.612624657627216
Finland,3,0.3193607925719278,1.7850265654821418,-2.2470686564536075,-1.3567917428414709
France,3,0.47430539002891464,1.1018578822128247,-2.2736470293768476,-0.1747222273467943
Gabon,3,2.8611314210518657,1.9620408891336296,-3.568146142607796,-0.151265033725438
Germany,3,0.0993672710478403,1.8130467842772588,-2.3626655482698187,-0.7353234237836623
Greece,3,-0.013703344967877026,1.5457744245847953,-1.364080390209429,-1.5046138755262004
Hong Kong,3,0.7639310960369453,1.443398166031525,-1.1602306494968557,-0.7326631193882587
Hungary,3,-0.23285393193954898,3.946479274990329,-3.8942075869709387,-0.8831726924280576
Ireland,3,1.2631292569179622,3.6651427940433865,-3.597107088965684,-1.0545604627849405
Israel,3,2.001912776639098,1.8199522574494251,-1.7786284799026086,-0.9575116056546816
Italy,3,0.132910920131388,1.0181431185843535,-1.6512885894594203,-0.17582805909240043
Japan,3,-0.007440218364437703,0.7523324106039865,-1.1986713976880532,-0.11575581523640197
Latvia,3,-1.0398317926781862,4.089484085422841,-3.727975844441019,-0.7456971564743085
Lebanon,3,1.432855228555836,2.2941494311758652,-1.9483889550066065,0.057938980801566044
Libya,3,1.4532047335094003,3.2082557740619335,-2.762709710330931,0.10695886974704175
Luxembourg,3,1.713581962667078,1.1028507970014947,-2.5639421640381506,-1.5474035517590516
Malta,3,1.1508306733469083,2.830328886881483,0.6561048384858168,-5.745576931238558
Moldova,3,-1.343694146156144,2.314649812901724,-0.7787672622742684,-3.1091276592502726
Netherlands,3,0.5151992471346947,1.836604403137977,-2.220300520353446,-1.1015242611875613
New Zealand,3,1.2491636856328268,1.8239785394962769,-2.6627863514959427,0.1432584383640135
Nicaragua,3,1.4189586432646475,3.1571921207924643,-1.3530886333114627,-0.550567631012733
Nigeria,3,2.623123137499385,3.7335890376220138,-2.567280059776392,-1.335917489792371
North Macedonia,3,-0.28024813594822257,2.4241096593426192,-2.180137178833025,-0.3875921697497261
Norway,3,0.8214494849690909,3.082590235493577,-3.5213218668945943,-0.07554898295835541
Poland,3,0.002888958646481546,4.697753674853775,-4.269033076158635,-0.7914357807208414
Portugal,3,0.14778244774789717,1.5821576917312654,-1.1764239898384456,-1.0532531309318427
Russia,3,-0.0640897474658411,3.853198496623186,-3.5696929407940825,-0.13970874451176646
Saudi Arabia,3,3.368519418500666,3.858269156032328,-2.4915371142424223,-0.3285394573648226
Serbia,3,-0.6276762690764764,3.4283637303248886,-2.872553561184842,-0.8839827574954416
Singapore,3,1.7894052403285776,3.618900380285802,-2.3435120246169823,-3.278875990923045
Slovakia,3,0.08374829034540189,3.270408458561496,-3.7895630028473537,-0.6327104451330811
Slovenia,3,0.2188561103457671,2.447039092314565,-2.6092529077696143,-0.43738993817850175
South Africa,3,1.2509072110855526,2.237140190867864,-2.776587073047303,0.07346272285698995
South Korea,3,0.49667972789219716,3.1190003106970163,-0.6865745222418524,-0.9094965646728407
Spain,3,0.6512700557470403,1.874555621361945,-1.3435253768512945,-1.244347600800042
Sweden,3,0.628604498782993,1.9402809603040168,-2.692580558491383,-1.5454397602904593
Switzerland,3,0.8126614761307277,2.075539038188149,-3.5479929987174423,-0.1546921306998854
Taiwan,3,0.33533981740260443,3.50412814092987,-1.7655298416448701,-0.1826052823681777
Turkey,3,1.3517580654190173,3.9852753093586157,-1.1269189562883113,-0.6115490921561704
